species,run,treatment,treatment_n,treatment_g,sed_load_mgcm2,replicate,total_larvae,Binary,raw_prop
Cnat,3,4 mm,4,4.3,300,2,15,0,0
Cnat,3,4 mm,4,4.3,300,3,15,0,0
Cnat,3,4 mm,4,4.3,300,4,15,1,0.1
Cnat,3,4 mm,4,4.3,300,5,15,1,0.1
Ofav,1,control,0,0,0,1,20,1,0.1
Ofav,1,control,0,0,0,2,20,1,0.1
Ofav,1,control,0,0,0,3,20,0,0
Ofav,1,control,0,0,0,4,20,1,0.3
Ofav,1,control,0,0,0,5,20,1,0.2
Ofav,1,2 mm,2,2.2,150,1,20,0,0
Ofav,1,2 mm,2,2.2,150,2,20,0,0
Ofav,1,2 mm,2,2.2,150,3,20,0,0
Ofav,1,2 mm,2,2.2,150,4,20,0,0
Ofav,1,2 mm,2,2.2,150,5,20,0,0
Ofav,1,4 mm,4,4.3,300,1,20,0,0
Ofav,1,4 mm,4,4.3,300,2,20,0,0
Ofav,1,4 mm,4,4.3,300,3,20,0,0
Ofav,1,4 mm,4,4.3,300,4,20,0,0
Ofav,1,4 mm,4,4.3,300,5,20,0,0
Ofav,2,control,0,0,0,1,20,1,0.1
Ofav,2,control,0,0,0,2,20,1,0.1
Ofav,2,control,0,0,0,3,20,1,0.1
Ofav,2,control,0,0,0,4,20,1,0.2
Ofav,2,control,0,0,0,5,20,0,0
Ofav,2,2 mm,2,2.2,150,1,20,1,0.2
Ofav,2,2 mm,2,2.2,150,2,20,1,0.1
Ofav,2,2 mm,2,2.2,150,3,20,0,0
Ofav,2,2 mm,2,2.2,150,4,20,1,0.1
Ofav,2,2 mm,2,2.2,150,5,20,0,0
Ofav,2,4 mm,4,4.3,300,1,20,0,0
Ofav,2,4 mm,4,4.3,300,2,20,0,0
Ofav,2,4 mm,4,4.3,300,3,20,0,0
Ofav,2,4 mm,4,4.3,300,4,20,0,0
Ofav,2,4 mm,4,4.3,300,5,20,1,0.1
Ofav,3,control,0,0,0,1,20,1,0.1
Ofav,3,control,0,0,0,2,20,0,0
Ofav,3,control,0,0,0,3,20,0,0
Ofav,3,control,0,0,0,4,20,0,0
Ofav,3,control,0,0,0,5,20,0,0
Ofav,3,2 mm,2,2.2,150,1,20,0,0
Ofav,3,2 mm,2,2.2,150,2,20,0,0
Ofav,3,2 mm,2,2.2,150,3,20,0,0
Ofav,3,2 mm,2,2.2,150,4,20,1,0.1
Ofav,3,2 mm,2,2.2,150,5,20,1,0.1
Ofav,3,4 mm,4,4.3,300,1,20,0,0
Ofav,3,4 mm,4,4.3,300,2,20,0,0
Ofav,3,4 mm,4,4.3,300,3,20,0,0
Ofav,3,4 mm,4,4.3,300,4,20,0,0
Ofav,3,4 mm,4,4.3,300,5,20,0,0
Ofav,4,control,0,0,0,1,20,0,0
Ofav,4,control,0,0,0,2,20,0,0
Ofav,4,control,0,0,0,3,20,0,0
Ofav,4,control,0,0,0,4,20,1,0.1
Ofav,4,control,0,0,0,5,20,0,0
Ofav,4,2 mm,2,2.2,150,1,20,0,0
Ofav,4,2 mm,2,2.2,150,2,20,0,0
Ofav,4,2 mm,2,2.2,150,3,20,0,0
Ofav,4,2 mm,2,2.2,150,4,20,0,0
Ofav,4,2 mm,2,2.2,150,5,20,0,0
Ofav,4,4 mm,4,4.3,300,1,20,0,0
Ofav,4,4 mm,4,4.3,300,2,20,0,0
Ofav,4,4 mm,4,4.3,300,3,20,0,0
Ofav,4,4 mm,4,4.3,300,4,20,0,0
Ofav,4,4 mm,4,4.3,300,5,20,0,0
Pcli,1,control,0,0,0,1,15,1,0.3
Pcli,1,control,0,0,0,2,15,0,0
Pcli,1,control,0,0,0,3,15,1,0.3
Pcli,1,control,0,0,0,4,15,1,0.2
Pcli,1,control,0,0,0,5,15,1,0.3
Pcli,1,2 mm,2,2.2,150,1,15,1,0.1
Pcli,1,2 mm,2,2.2,150,2,15,0,0
Pcli,1,2 mm,2,2.2,150,3,15,0,0
Pcli,1,2 mm,2,2.2,150,4,15,0,0
Pcli,1,2 mm,2,2.2,150,5,15,0,0
Pcli,1,4 mm,4,4.3,300,1,15,0,0
Pcli,1,4 mm,4,4.3,300,2,15,0,0
Pcli,1,4 mm,4,4.3,300,3,15,0,0
Pcli,1,4 mm,4,4.3,300,4,15,1,0.1
Pcli,1,4 mm,4,4.3,300,5,15,0,0
Pcli,2,control,0,0,0,1,15,1,0.5
Pcli,2,control,0,0,0,2,15,1,0.2
Pcli,2,control,0,0,0,3,15,1,0.2
Pcli,2,control,0,0,0,4,15,1,0.1
Pcli,2,control,0,0,0,5,15,1,0.5
Pcli,2,2 mm,2,2.2,150,1,15,0,0
Pcli,2,2 mm,2,2.2,150,2,15,1,0.2
Pcli,2,2 mm,2,2.2,150,3,15,1,0.2
Pcli,2,2 mm,2,2.2,150,4,15,0,0
Pcli,2,2 mm,2,2.2,150,5,15,1,0.1
Pcli,2,4 mm,4,4.3,300,1,15,1,0.1
Pcli,2,4 mm,4,4.3,300,2,15,1,0.1
Pcli,2,4 mm,4,4.3,300,3,15,1,0.1
Pcli,2,4 mm,4,4.3,300,4,15,1,0.1
Pcli,2,4 mm,4,4.3,300,5,15,0,0
Pcli,3,control,0,0,0,1,15,1,0.7
Pcli,3,control,0,0,0,2,15,1,0.6
Pcli,3,control,0,0,0,3,15,1,0.3
Pcli,3,control,0,0,0,4,15,1,0.4
Pcli,3,control,0,0,0,5,15,1,0.4
Pcli,3,2 mm,2,2.2,150,1,15,1,0.1
Pcli,3,2 mm,2,2.2,150,2,15,1,0.6
Pcli,3,2 mm,2,2.2,150,3,15,1,0.5
Pcli,3,2 mm,2,2.2,150,4,15,1,0.1
Pcli,3,2 mm,2,2.2,150,5,15,1,0.1
Pcli,3,4 mm,4,4.3,300,1,15,1,0.1
Pcli,3,4 mm,4,4.3,300,2,15,1,0.2
Pcli,3,4 mm,4,4.3,300,3,15,0,0
Pcli,3,4 mm,4,4.3,300,4,15,1,0.2
Pcli,3,4 mm,4,4.3,300,5,15,1,0.1
Pcli,4,control,0,0,0,1,15,1,0.2
Pcli,4,control,0,0,0,2,15,1,0.2
Pcli,4,control,0,0,0,3,15,1,0.4
Pcli,4,control,0,0,0,4,15,1,0.2
Pcli,4,control,0,0,0,5,15,1,0.5
Pcli,4,2 mm,2,2.2,150,1,15,1,0.4
Pcli,4,2 mm,2,2.2,150,2,15,1,0.6
Pcli,4,2 mm,2,2.2,150,3,15,1,0.7
Pcli,4,2 mm,2,2.2,150,4,15,1,0.5
Pcli,4,2 mm,2,2.2,150,5,15,1,0.6
Pcli,4,4 mm,4,4.3,300,1,15,1,0.3
Pcli,4,4 mm,4,4.3,300,2,15,1,0.2
Pcli,4,4 mm,4,4.3,300,3,15,1,0.5
Pcli,4,4 mm,4,4.3,300,4,15,1,0.6
Pcli,4,4 mm,4,4.3,300,5,15,1,0.3
Pstr,1,control,0,0,0,1,15,1,0.2
Pstr,1,control,0,0,0,2,15,1,0.5
Pstr,1,control,0,0,0,3,15,1,0.1
Pstr,1,control,0,0,0,4,15,1,0.3
Pstr,1,control,0,0,0,5,15,1,0.7
Pstr,1,control,0,0,0,6,15,0,0
Pstr,1,control,0,0,0,7,15,1,0.1
Pstr,1,control,0,0,0,8,15,1,0.9
Pstr,1,control,0,0,0,9,15,1,0.1
Pstr,1,control,0,0,0,10,15,1,0.2
Pstr,1,2 mm,2,2.2,150,1,15,1,0.2
Pstr,1,2 mm,2,2.2,150,2,15,0,0
Pstr,1,2 mm,2,2.2,150,3,15,0,0
Pstr,1,2 mm,2,2.2,150,4,15,1,0.1
Pstr,1,2 mm,2,2.2,150,5,15,1,0.1
Pstr,1,4 mm,4,4.3,300,1,15,0,0
Pstr,1,4 mm,4,4.3,300,2,15,0,0
Pstr,1,4 mm,4,4.3,300,3,15,1,0.1
Pstr,1,4 mm,4,4.3,300,4,15,0,0
Pstr,1,4 mm,4,4.3,300,5,15,0,0
Pstr,2,control,0,0,0,1,15,1,0.7
Pstr,2,control,0,0,0,2,15,1,0.1
Pstr,2,control,0,0,0,3,15,1,0.3
Pstr,2,control,0,0,0,4,15,1,0.3
Pstr,2,control,0,0,0,5,15,0,0
Pstr,2,2 mm,2,2.2,150,1,15,1,0.2
Pstr,2,2 mm,2,2.2,150,2,15,1,0.3
Pstr,2,2 mm,2,2.2,150,3,15,1,0.3
Pstr,2,2 mm,2,2.2,150,4,15,0,0
Pstr,2,2 mm,2,2.2,150,5,15,1,0.1
Pstr,2,4 mm,4,4.3,300,1,15,1,0.1
Pstr,2,4 mm,4,4.3,300,2,15,1,0.1
Pstr,2,4 mm,4,4.3,300,3,15,1,0.2
Pstr,2,4 mm,4,4.3,300,4,15,1,0.1
Pstr,2,4 mm,4,4.3,300,5,15,1,0.1
Pstr,3,control,0,0,0,1,15,1,0.1
Pstr,3,control,0,0,0,2,15,1,0.2
Pstr,3,control,0,0,0,3,15,1,0.4
Pstr,3,control,0,0,0,4,15,1,0.3
Pstr,3,control,0,0,0,5,15,0,0
Pstr,3,2 mm,2,2.2,150,1,15,1,0.1
Pstr,3,2 mm,2,2.2,150,2,15,1,0.1
Pstr,3,2 mm,2,2.2,150,3,15,1,0.1
Pstr,3,2 mm,2,2.2,150,4,15,1,0.1
Pstr,3,2 mm,2,2.2,150,5,15,0,0
Pstr,3,4 mm,4,4.3,300,1,15,0,0
Pstr,3,4 mm,4,4.3,300,2,15,1,0.1
Pstr,3,4 mm,4,4.3,300,3,15,1,0.1
Pstr,3,4 mm,4,4.3,300,4,15,0,0
Pstr,3,4 mm,4,4.3,300,5,15,0,0
Dlab,1,control,0,0,0,1,15,1,0.2
Dlab,1,control,0,0,0,2,15,1,0.13
Dlab,1,control,0,0,0,3,15,1,0.07
Dlab,1,control,0,0,0,4,15,1,0.07
Dlab,1,control,0,0,0,5,15,0,0
Dlab,1,2 mm,2,2.2,150,1,15,1,0.07
Dlab,1,2 mm,2,2.2,150,2,15,1,0.13
Dlab,1,2 mm,2,2.2,150,3,15,1,0.07
Dlab,1,2 mm,2,2.2,150,4,15,1,0.2
Dlab,1,2 mm,2,2.2,150,5,15,1,0.13
Dlab,1,4 mm,4,4.3,300,1,15,0,0
Dlab,1,4 mm,4,4.3,300,2,15,1,0.2
Dlab,1,4 mm,4,4.3,300,3,15,1,0.13
Dlab,1,4 mm,4,4.3,300,4,15,0,0
Dlab,1,4 mm,4,4.3,300,5,15,1,0.13
Dlab,2,control,0,0,0,1,15,1,0.07
Dlab,2,control,0,0,0,2,15,1,0.47
Dlab,2,control,0,0,0,3,15,1,0.73
Dlab,2,control,0,0,0,4,15,1,0.07
Dlab,2,control,0,0,0,5,15,0,0
Dlab,2,2 mm,2,2.2,150,1,15,1,0.2
Dlab,2,2 mm,2,2.2,150,2,15,1,0.07
Dlab,2,2 mm,2,2.2,150,3,15,1,0.33
Dlab,2,2 mm,2,2.2,150,4,15,0,0
Dlab,2,2 mm,2,2.2,150,5,15,1,0.07
Dlab,2,4 mm,4,4.3,300,1,15,1,0.07
Dlab,2,4 mm,4,4.3,300,2,15,0,0
Dlab,2,4 mm,4,4.3,300,3,15,1,0.07
Dlab,2,4 mm,4,4.3,300,4,15,1,0.07
Dlab,2,4 mm,4,4.3,300,5,15,1,0.13
Dlab,3,control,0,0,0,1,15,1,0.07
Dlab,3,control,0,0,0,2,15,1,0.07
Dlab,3,control,0,0,0,3,15,0,0
Dlab,3,control,0,0,0,4,15,1,0.33
Dlab,3,control,0,0,0,5,15,1,0.07
Dlab,3,2 mm,2,2.2,150,1,15,1,0.13
Dlab,3,2 mm,2,2.2,150,2,15,0,0
Dlab,3,2 mm,2,2.2,150,3,15,1,0.27
Dlab,3,2 mm,2,2.2,150,4,15,1,0.07
Dlab,3,2 mm,2,2.2,150,5,15,0,0
Dlab,3,4 mm,4,4.3,300,1,15,1,0.07
Dlab,3,4 mm,4,4.3,300,2,15,1,0.07
Dlab,3,4 mm,4,4.3,300,3,15,0,0
Dlab,3,4 mm,4,4.3,300,4,15,1,0.07
Dlab,3,4 mm,4,4.3,300,5,15,1,0.2
Dlab,4,control,0,0,0,1,15,0,0
Dlab,4,control,0,0,0,2,15,0,0
Dlab,4,control,0,0,0,3,15,0,0
Dlab,4,control,0,0,0,4,15,0,0
Dlab,4,control,0,0,0,5,15,0,0
Dlab,4,2 mm,2,2.2,150,1,15,0,0
Dlab,4,2 mm,2,2.2,150,2,15,0,0
Dlab,4,2 mm,2,2.2,150,3,15,0,0
Dlab,4,2 mm,2,2.2,150,4,15,1,0.07
Dlab,4,2 mm,2,2.2,150,5,15,1,0.07
Dlab,4,4 mm,4,4.3,300,1,15,1,0.13
Dlab,4,4 mm,4,4.3,300,2,15,1,0.2
Dlab,4,4 mm,4,4.3,300,3,15,1,0.27
Dlab,4,4 mm,4,4.3,300,4,15,0,0
Dlab,4,4 mm,4,4.3,300,5,15,0,0
