Season,Site,Month,Day,Year,Plot,Sed_depth_mm,Turf_length_mm,Sediment_w
Summer,Carysfort Reef,May,25,2023,23,2,4,1.1455
Summer,Carysfort Reef,May,25,2023,25,3,5,2.5725
Summer,Conch Reef,May,26,2023,1,3,5,2.6969
Summer,Conch Reef,May,26,2023,2,2,5,1.8163
Summer,Conch Reef,May,26,2023,3,1,2,0.7232
Summer,Conch Reef,May,26,2023,4,5,8,10.6579
Summer,Conch Reef,May,26,2023,5,4,7,6.9552
Summer,Conch Reef,May,26,2023,6,3,7,5.8684
Summer,Conch Reef,May,26,2023,7,3,5,3.2642
Summer,Conch Reef,May,26,2023,8,5,7,4.0664
Summer,Conch Reef,May,26,2023,9,4,7,4.19
Summer,Conch Reef,May,26,2023,10,4,6,3.5151
Summer,Conch Reef,May,26,2023,11,2,3,1.0507
Summer,Conch Reef,May,26,2023,12,3,5,3.6263
Summer,Conch Reef,May,26,2023,13,2,4,1.9149
Summer,Conch Reef,May,26,2023,14,3,4,1.6975
Summer,Conch Reef,May,26,2023,15,2,3,0.9967
Summer,Conch Reef,May,26,2023,16,2,4,0.6289
Summer,Conch Reef,May,26,2023,17,2,2,0.8398
Summer,Conch Reef,May,26,2023,18,3,5,4.5129
Summer,Conch Reef,May,26,2023,19,2,4,2.0956
Summer,Conch Reef,May,26,2023,20,1,2,0.6647
Summer,Conch Reef,May,26,2023,21,3,3,4.1097
Summer,Conch Reef,May,26,2023,22,3,5,2.9585
Summer,Conch Reef,May,26,2023,23,4,8,5.142
Summer,Conch Reef,May,26,2023,24,6,10,10.0901
Summer,Conch Reef,May,26,2023,25,2,3,2.4612
Summer,Carysfort Reef,May,25,2023,24,1,2,0.8366
Summer,Ft Lauderdale,May,10,2023,3,1,2,0.6212
Summer,Ft Lauderdale,May,10,2023,5,1,3,1.1106
Summer,Ft Lauderdale,May,10,2023,7,3,3,1.6511
Summer,Ft Lauderdale,May,10,2023,9,2,4,1.135
Summer,Ft Lauderdale,May,10,2023,11,3,3,4.2275
Summer,Ft Lauderdale,May,10,2023,13,6,8,5.576
Summer,Ft Lauderdale,May,10,2023,15,4,7,4.9707
Summer,Ft Lauderdale,May,10,2023,17,2,4,2.2961
Summer,Ft Lauderdale,May,10,2023,19,3,4,2.0656
Summer,Ft Lauderdale,May,10,2023,21,1,3,1.6818
Summer,Ft Lauderdale,May,10,2023,23,2,3,1.6499
Summer,Ft Lauderdale,May,10,2023,25,2,4,2.6771
Summer,Dania Beach,May,9,2023,1,1,3,6.1302
Summer,Dania Beach,May,9,2023,3,2,3,2.764
Summer,Dania Beach,May,9,2023,5,4,4,4.8126
Summer,Dania Beach,May,9,2023,7,3,6,5.6878
Summer,Dania Beach,May,9,2023,9,2,3,2.0608
Summer,Dania Beach,May,9,2023,11,4,7,9.4319
Summer,South Canyon,May,3,2023,1,3,5,3.7976
Summer,South Canyon,May,3,2023,2,5,6,5.9243
Summer,South Canyon,May,3,2023,3,2,4,1.9656
Summer,South Canyon,May,3,2023,4,6,3,5.9154
Summer,South Canyon,May,3,2023,5,2,3,3.9763
Summer,South Canyon,May,3,2023,6,3,4,2.5823
Summer,South Canyon,May,3,2023,7,4,7,8.5017
Summer,South Canyon,May,3,2023,8,3,5,8.2024
Summer,South Canyon,May,3,2023,9,1,3,1.5562
Summer,South Canyon,May,3,2023,10,1,2,1.4961
Summer,South Canyon,May,3,2023,11,2,3,3.7372
Summer,South Canyon,May,3,2023,12,5,8,4.6365
Summer,South Canyon,May,3,2023,13,3,4,2.6473
Summer,South Canyon,May,3,2023,14,4,6,5.9133
Summer,South Canyon,May,3,2023,15,3,6,5.4738
Summer,South Canyon,May,3,2023,16,3,3,3.1245
Summer,South Canyon,May,3,2023,17,2,3,1.994
Summer,South Canyon,May,3,2023,18,3,4,5.5391
Summer,South Canyon,May,3,2023,19,2,1,5.1328
Summer,South Canyon,May,3,2023,20,3,5,4.9074
Summer,South Canyon,May,3,2023,21,2,3,3.1044
Summer,South Canyon,May,3,2023,22,3,6,8.5405
Summer,South Canyon,May,3,2023,23,3,4,2.5877
Summer,South Canyon,May,3,2023,24,3,4,4.1451
Summer,South Canyon,May,3,2023,25,2,4,2.2784
Summer,Emerald Reef,May,16,2023,23,2,4,2.3876
Summer,Emerald Reef,May,16,2023,24,2,4,5.4228
Summer,Emerald Reef,May,16,2023,25,2,2,4.7348
Summer,Carysfort Reef,May,25,2023,1,2,4,0.3474
Summer,Carysfort Reef,May,25,2023,2,3,5,2.6033
Summer,Carysfort Reef,May,25,2023,3,1,3,0.6541
Summer,Carysfort Reef,May,25,2023,4,2,3,0.5039
Summer,Carysfort Reef,May,25,2023,5,3,6,3.6808
Summer,Carysfort Reef,May,25,2023,6,3,6,2.7687
Summer,Carysfort Reef,May,25,2023,7,1,3,0.4299
Summer,Carysfort Reef,May,25,2023,8,4,7,5.0274
Summer,Carysfort Reef,May,25,2023,9,2,5,1.4582
Summer,Carysfort Reef,May,25,2023,10,4,6,3.8452
Summer,Carysfort Reef,May,25,2023,11,4,9,4.4808
Summer,Carysfort Reef,May,25,2023,12,2,4,1.6451
Summer,Carysfort Reef,May,25,2023,13,2,3,0.8652
Summer,Carysfort Reef,May,25,2023,14,4,6,3.4592
Summer,Carysfort Reef,May,25,2023,15,3,4,1.6067
Summer,Carysfort Reef,May,25,2023,16,2,5,0.7496
Summer,Carysfort Reef,May,25,2023,17,3,7,3.4536
